trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.95}",25,0,-70.7013880345296,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.8999999999999999}",25,17,-14.118010755726008,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.7, 'e': 0.8499999999999999}",25,8,-76.6059598291353,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.7, 'e': 0.7999999999999998}",20,0,-84.1426558834023,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.7499999999999998}",35,3,-193.85087708407832,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 4}",1
6,False,"{'a': 0.7, 'e': 0.6999999999999997}",20,0,-88.52579363919416,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.6499999999999997}",20,0,-43.40803900083507,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.5999999999999996}",25,0,-73.80301099985549,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.5499999999999996}",20,8,3.2373566392779916,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.4999999999999996}",25,0,-120.30895359509904,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.4499999999999996}",20,0,-25.43553975300081,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.39999999999999963}",25,0,-65.41090078751819,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.34999999999999964}",20,6,8.672769871448178,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.29999999999999966}",20,0,-43.753141228102116,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.24999999999999967}",20,4,-4.848288137077505,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.19999999999999968}",20,0,-75.44347946302976,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.1499999999999997}",20,0,-34.9700846826417,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.09999999999999969}",25,0,17.109566198637076,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.049999999999999684}",20,0,6.182300723199503,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.7, 'e': -3.191891195797325e-16}",20,8,21.609759265876665,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,12.353955438948937,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,24,-25.706114466318756,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,-12.674949990952408,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,12,16.121991437179805,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,22,13.329187991954495,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,15,10.682836256368663,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,27.155819570156986,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,13,-23.09216905597124,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-28.887779322772197,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",35,17,29.398733625393916,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,13,-19.566019178816553,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,True,"{'a': 0, 'e': 0}",25,17,11.488449005382954,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,5,25.444487708288868,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",30,16,30.501978006320986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,7,15.643912645379274,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,8,20.14181699307838,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,14,11.198358127300526,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,7,1.387242582038754,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,22,17.846989641903335,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,0,-17.73578623404446,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
